fine_tuned,input_character_raw,input_location_raw,raw_text,id,location_output
True,,,"(The Simpsons: ext. simpsons' house - morning - establishing)
(The Simpsons: INT. SIMPSONS' HOUSE - HALLWAY - CONTINUOUS)
Homer Simpson: Marge, this morning I saw a child who was kind of sickly looking, and I'm worried that it might be Bart.
(The Simpsons: INT. SIMPSONS' HOUSE - kitchen - day)
Homer Simpson: Marge, the kids are finally asleep. I told 'em a story about a horse and a monkey and they went right out.
Homer Simpson: (FEELING HIS PANTS) Oh, no. (STANDS UP) I'm wearing kid pants.
(The Simpsons: INT. SIMPSONS' HOUSE - KITCHEN - DAY)
Homer Simpson: Marge, you've gotta help me. They're just like the monsters under my bed when I was little. Except they're real.",ft1_char0_loc0_0,simpson house
True,"['Homer Simpson', 'Bart Simpson']",,"(Homer Simpson: AD LIB OF ""YEAH"" WITH A MOUTHFUL OF CHICKEN)
(Homer Simpson: RE: BART'S EATING)
Bart Simpson: Is there no place on this Earth for a kid who's not a screw-up?",ft1_char1_loc0_0,
True,"['Bart Simpson', 'Lisa Simpson', 'Milhouse Van Houten']",,"Bart Simpson: (SINCERE) I'm glad you're back, Milhouse. I really missed you.
Milhouse Van Houten: (MOVING HIS HEAD) But I'm still mad.
Bart Simpson: (GENUINE) And I'm sorry I tore up your picture.
Bart Simpson: (SAD) It was a good one.
Milhouse Van Houten: (AFTER A BEAT) I know you're sorry, Bart. And I forgive you.
Bart Simpson: (HOPEFUL) Can we be friends again?
Milhouse Van Houten: (FRIENDLY) I think we can.
Bart Simpson: (WHISPERING) Now let's get out of here before they start doing that ""Jewish stuff.""
Lisa Simpson: (TO HERSELF) That's so beautiful. Milhouse forgave him. (BEAT, SAD) Why can't I forgive them? (TO MIKE, SADLY) I forgive you. (TO RICHARD, SADLY) I forgive you. (TO JIMMY, SADLY) I forgive you. (ETC.)
Milhouse Van Houten: (TO BART) Are you thinking what I'm thinking?
Bart Simpson: (EAGER) You bet.
Lisa Simpson: (SOBS)
Bart Simpson: (SIMULTANEOUSLY, TO MILHOUSE) I bet we could take 'em.
Milhouse Van Houten: At the same time!",ft1_char1_loc0_1,
True,"['Homer Simpson', 'C. Montgomery Burns', 'Waylon Smithers']",,"(ANOTHER PART OF THE ESTATE - CONTINUOUS)
C. Montgomery Burns: (TO HOMER) Perhaps you could take a refreshment break.
Homer Simpson: Oh no. I've got five seconds left in my break... that's it.
(ANOTHER PART OF THE ESTATE - CONTINUOUS)
Waylon Smithers: Let's see how he likes a little of the ""old salt lick.""
Homer Simpson: (SHOCKED, THEN) Mmm. Salt. (MOANS)",ft1_char1_loc0_2,burns estate
True,"['Homer Simpson', 'Grampa Simpson', 'Helen Lovejoy', 'Bart Simpson', 'Marge Simpson']",Springfield Retirement Castle,"(Springfield Retirement Castle: EXT. RETIREMENT CASTLE - DAY)
Marge Simpson: I just don't think this is a good idea.
Homer Simpson: Marge, you know sometimes I have to trick you into doing things?
Marge Simpson: Uh huh.
Homer Simpson: Well, I'm doing it again.
Marge Simpson: (GASP) She's here! (POINTS)
Homer Simpson: (AMID ANNOYED MURMURS) You're supposed to be sleeping in your chair.
Grampa Simpson: I'm too excited. (THEN, WITH EXPECTANT LOOK) Is that her? Is that your dead mother?
Helen Lovejoy: Now, I don't want to start any trouble, but she looks older than her picture and she's not wearing a bra.
Grampa Simpson: (DISGUSTED SOUND)
Helen Lovejoy: (SHRIEKS) Why I never!
Bart Simpson: (ENTHUSIASTIC) I did! (INDICATES HER BREASTS)",ft1_char1_loc1_0,springfield retirement castle
True,"['Lisa Simpson', 'Otto Mann', 'Ms. Cantwell', 'Agnes Skinner', 'Seymour Skinner', 'Gary Chalmers']",Springfield Elementary School,"(Springfield Elementary School: int. Springfield elementary - cafeteria - later)
Gary Chalmers: First off, I would like to introduce our new school nurse, Ms. Cantwell.
Ms. Cantwell: (HOT) Hello, children. I'm not just some sexy vision in a white uniform, like the ones in the (HOLDS UP A BOOK) Book Of Mormon. (THEN) I'm also a registered nurse. (CHUCKLES)
Otto Mann: (LOOKING AT HIPPY) Well done, God!
Lisa Simpson: (IMPRESSED) Wow, there really are two things she could be.
Gary Chalmers: So if you have a tummy ache, a turtle head poking out, or a neon sign that says ""Hepatitis,"" come and see Ms. Cantwell.
(Springfield Elementary School: int. springfield elementary - hallway - moments later)
Seymour Skinner: (HOLDS OUT A HALL PASS) I am so happy to see that face.
Lisa Simpson: Let's just say your last school nurse did her job.
Seymour Skinner: I don't think that's exactly the right way to put it.
Lisa Simpson: (RE-GIFTING) Here, then. The chocolate's for you... the tooth's for her.
Seymour Skinner: Thank you, Lisa. But I think this is the sort of thing we should share with the whole school.
Seymour Skinner: Now, let's roll.
Agnes Skinner: (THINKING) A boy and a girl, eh? This is a case for Cupid. He was last seen at the public library, where he was reading up on sex education.
Agnes Skinner: (SCANDALIZED) Two children kissing at the library? (UPSET NOISE)",ft1_char1_loc1_1,springfield elementary school
True,"['Homer Simpson', 'Helen Lovejoy', 'Sex Shop Salesman', 'Rev. Timothy Lovejoy', 'Waylon Smithers']",SEX SHOP,"(SEX SHOP: Int. sex shop - continuous)
Helen Lovejoy: I wish she was as supportive of her husband's store as she is of those poor, starving dogs.
Rev. Timothy Lovejoy: Thank you for calling ""Store"" Alone. This is Timothy Lovejoy. How can I service you?
Homer Simpson: It's me. Timothy Lovejoy.
Jr. Rev. Timothy Lovejoy: (DISAPPOINTED) Oh.
Homer Simpson: I'm trying to buy something to spice up my marriage. What do you have in a ""waking in on your wife with another woman"" that's not too stagy?
Rev. Timothy Lovejoy: Homer, I am not comfortable discussing these matters. You should talk to the school psychologist.
Homer Simpson: We don't have a school psychologist!
Rev. Timothy Lovejoy: (UNDER HIS BREATH) Well, you should.
(SEX SHOP: Int. sex shop - continuous)
(SEX SHOP: Int. sex shop - continuous)
Waylon Smithers: (GENTLY) Uh, Homer, it's me. Waylon Smithers.
Homer Simpson: (SURPRISED) What the--?
Waylon Smithers: (MOANS) Homer, do me a favor.
Homer Simpson: Sure.
Waylon Smithers: The calla lilies are a little too tall. Cut them down about a half-inch.
Homer Simpson: (LAUGHING) No problem. Well, it's nice to know you're in on the secret, Smithers.
Waylon Smithers: (MOURNFUL) I only wish I could tell the world.
Homer Simpson: (MENACING) Oh, you will, my friend.
Waylon Smithers: (ANNOYED) Why must you always stand in the way of progress?
(SEX SHOP: Int. sex shop - continuous)
(SEX SHOP: Int. sex shop - day)
(SEX SHOP: Ext. sex shop - night)
(SEX SHOP: Int. sex shop - day)
Helen Lovejoy: We're here to win back our Church from that devil-worshipping store!
Homer Simpson: I'm not worshipping the devil. I'm buying a Christmas gift for my wife. But I am not feeling the spirit of the season.
Sex Shop Salesman: Perhaps I can help. You see, true giving is the putting forth of food, time, or money with no visible hope of return. And we're closing in ten minutes, so just pick something and get the hell out.
Homer Simpson: (GOBBLING) Christmas is the season for giving.
(SEX SHOP: Int. sex shop - day)
(SEX SHOP: Ext. sex shop - night)
(SEX SHOP: Ext. sex shop - night - establishing)
(SEX SHOP: Int. sex shop - continuous)
Homer Simpson: Ooh, bondage-me.",ft1_char1_loc1_2,sex shop
True,"['Milhouse Van Houten', 'Bart Simpson', 'Nelson Muntz']",SPRINGFIELD SWAMP,"(SPRINGFIELD SWAMP: Ext. springfield swamp - continuous)
Milhouse Van Houten: What do you think it is?
Bart Simpson: (PROUD) Probably a new species, named in my honor.
Nelson Muntz: I claim this island!
Nelson Muntz: Oww!
Nelson Muntz: Oh, you do?! Now you're gonna be one of them monster-people on the island?
Nelson Muntz: Just sit me on that island and I'll become your king. (BART LAUGH)",ft1_char1_loc1_3,springfield swamp
True,"['Homer Simpson', 'Selma Bouvier', 'Ned Flanders', 'Bart Simpson', 'Marge Simpson', 'Milhouse Van Houten']",Simpson Home,"(Simpson Home: INT. simpson house - FAMILY ROOM)
Marge Simpson: We don't want you to get hurt when they miss the net and the puck flies into the stands.
Marge Simpson: We'll be okay. We've got our foam paws.
Bart Simpson: (SAD) Are these foam paws?
Homer Simpson: Bart, they're yours!
Bart Simpson: Hey, you said you were throwing these away.
Homer Simpson: (ANNOYED GRUNT)
Marge Simpson: (SOTTO) But Selma and I are best friends!
Homer Simpson: (LAUGHS) Of course you are, dear.
Milhouse Van Houten: (MOANS) I just can't decide which ring I want.
Homer Simpson: Let me help you, son! I have a keen eye for fashion.
Homer Simpson: (WEARY) So, how was your day?
Bart Simpson: Not now, man. I'm about to make major news in the world of professional sports. I need to get in my zone.
Ned Flanders: Homer, could you pass the salt?
Homer Simpson: ""Homer?"" We're not at work anymore. When you're in my house, you call me ""Simpson.""
Selma Bouvier: Oh, I think we're getting a little too big for our britches.
Selma Bouvier: (QUICKLY TERRIFYING) I haven't even begun to get swollen with pride.
Homer Simpson: Ooh. Who's making fun of the new power couple?
Homer Simpson: It's nincompoop! (CHUCKLES) Idiot! (CHUCKLES) Oaf! (CHUCKLES)
(Simpson Home: INT. SIMPSON HOUSE - KITCHEN - NIGHT)
Milhouse Van Houten: We are pleased to announce that Milhouse Van Houten has signed a contract with the Springfield Isotopes!
Milhouse Van Houten: Eat my dust, defective Jaromirs!",ft1_char1_loc1_4,simpson home
False,,,"(Interior: Simpson living room. Marge is sitting on the couch flipping through a magazine, Homer is on the floor playing with Maggie, and Bart and Lisa are at the dining table doing homework.)
Marge Simpson: (sighs) It's so peaceful when everyone is doing their own thing.
Homer Simpson: (playing with Maggie) Whee! Look at her go!
Bart Simpson: (frustrated, slamming his pencil down) This math homework is impossible!
Lisa Simpson: (calmly) Bart, you just need to focus and apply yourself. It's not that hard.
Bart Simpson: (sarcastically) Oh, sure, easy for the little genius to say.
(Just then, the doorbell rings. Homer gets up to answer it.)
Homer Simpson: (excitedly) Ooh, a package! I wonder what it could be.
(Homer opens the door to find a large box labeled (Mystery Box - Open at Your Own Risk))
Homer Simpson: (excitedly) Ooh, a mystery box! I can't wait to see what's inside.
Marge Simpson: (worried) Homer, are you sure it's safe to open that?
Homer Simpson: (dismissively) Of course, Marge. What could possibly go wrong?
(Homer opens the box to reveal a bunch of colorful balloons that start floating out of the box and filling up the living room.)
Marge Simpson: (frantically) Homer, close the box! The balloons are getting out of control!
(Homer tries to close the box, but more balloons keep coming out, filling up the room and lifting the family off the ground.)
Bart Simpson: (excitedly) This is awesome!
Lisa Simpson: (worried) I don't think this is supposed to be happening.
(Marge grabs onto Maggie, who is floating in the air, while Homer tries to wrangle the balloons back into the box.)
Homer Simpson: (struggling) I've got it, I've got it!
(Just then, the box starts shaking and glowing, and a bright light shoots out, enveloping the entire family.)
Marge Simpson: (screaming) Homer, what have you done?!
(The light fades, and the family finds themselves floating in outer space, surrounded by stars and planets.)
Homer Simpson: (amazed) Wow, we're in space! This is even better than I imagined.
Bart Simpson: (excitedly) I can see our house from here!
Lisa Simpson: (in awe) This is incredible. But how are we going to get back home?
(The family looks around, unsure of what to do next, as the camera pans out to show them floating in the vastness of space.)",ft0_char0_loc0_0,simpson living room
