id,fine_tuned,location_id,raw_text,speaking_line,raw_character,spoken_words
ft1_char0_loc0_0,True,910.0,(The Simpsons: ext. simpsons' house - morning - establishing),False,,
ft1_char0_loc0_0,True,910.0,(The Simpsons: INT. SIMPSONS' HOUSE - HALLWAY - CONTINUOUS),False,,
ft1_char0_loc0_0,True,910.0,"Homer Simpson: Marge, this morning I saw a child who was kind of sickly looking, and I'm worried that it might be Bart.",True,Homer Simpson," Marge, this morning I saw a child who was kind of sickly looking, and I'm worried that it might be Bart."
ft1_char0_loc0_0,True,910.0,(The Simpsons: INT. SIMPSONS' HOUSE - kitchen - day),False,,
ft1_char0_loc0_0,True,910.0,"Homer Simpson: Marge, the kids are finally asleep. I told 'em a story about a horse and a monkey and they went right out.",True,Homer Simpson," Marge, the kids are finally asleep. I told 'em a story about a horse and a monkey and they went right out."
ft1_char0_loc0_0,True,910.0,"Homer Simpson: (FEELING HIS PANTS) Oh, no. (STANDS UP) I'm wearing kid pants.",True,Homer Simpson," (FEELING HIS PANTS) Oh, no. (STANDS UP) I'm wearing kid pants."
ft1_char0_loc0_0,True,910.0,(The Simpsons: INT. SIMPSONS' HOUSE - KITCHEN - DAY),False,,
ft1_char0_loc0_0,True,910.0,"Homer Simpson: Marge, you've gotta help me. They're just like the monsters under my bed when I was little. Except they're real.",True,Homer Simpson," Marge, you've gotta help me. They're just like the monsters under my bed when I was little. Except they're real."
ft1_char1_loc0_0,True,0.0,"(Homer Simpson: AD LIB OF ""YEAH"" WITH A MOUTHFUL OF CHICKEN)",False,,
ft1_char1_loc0_0,True,0.0,(Homer Simpson: RE: BART'S EATING),False,,
ft1_char1_loc0_0,True,0.0,Bart Simpson: Is there no place on this Earth for a kid who's not a screw-up?,True,Bart Simpson, Is there no place on this Earth for a kid who's not a screw-up?
ft1_char1_loc0_1,True,0.0,"Bart Simpson: (SINCERE) I'm glad you're back, Milhouse. I really missed you.",True,Bart Simpson," (SINCERE) I'm glad you're back, Milhouse. I really missed you."
ft1_char1_loc0_1,True,0.0,Milhouse Van Houten: (MOVING HIS HEAD) But I'm still mad.,True,Milhouse Van Houten, (MOVING HIS HEAD) But I'm still mad.
ft1_char1_loc0_1,True,0.0,Bart Simpson: (GENUINE) And I'm sorry I tore up your picture.,True,Bart Simpson, (GENUINE) And I'm sorry I tore up your picture.
ft1_char1_loc0_1,True,0.0,Bart Simpson: (SAD) It was a good one.,True,Bart Simpson, (SAD) It was a good one.
ft1_char1_loc0_1,True,0.0,"Milhouse Van Houten: (AFTER A BEAT) I know you're sorry, Bart. And I forgive you.",True,Milhouse Van Houten," (AFTER A BEAT) I know you're sorry, Bart. And I forgive you."
ft1_char1_loc0_1,True,0.0,Bart Simpson: (HOPEFUL) Can we be friends again?,True,Bart Simpson, (HOPEFUL) Can we be friends again?
ft1_char1_loc0_1,True,0.0,Milhouse Van Houten: (FRIENDLY) I think we can.,True,Milhouse Van Houten, (FRIENDLY) I think we can.
ft1_char1_loc0_1,True,0.0,"Bart Simpson: (WHISPERING) Now let's get out of here before they start doing that ""Jewish stuff.""",True,Bart Simpson," (WHISPERING) Now let's get out of here before they start doing that ""Jewish stuff."""
ft1_char1_loc0_1,True,0.0,"Lisa Simpson: (TO HERSELF) That's so beautiful. Milhouse forgave him. (BEAT, SAD) Why can't I forgive them? (TO MIKE, SADLY) I forgive you. (TO RICHARD, SADLY) I forgive you. (TO JIMMY, SADLY) I forgive you. (ETC.)",True,Lisa Simpson," (TO HERSELF) That's so beautiful. Milhouse forgave him. (BEAT, SAD) Why can't I forgive them? (TO MIKE, SADLY) I forgive you. (TO RICHARD, SADLY) I forgive you. (TO JIMMY, SADLY) I forgive you. (ETC.)"
ft1_char1_loc0_1,True,0.0,Milhouse Van Houten: (TO BART) Are you thinking what I'm thinking?,True,Milhouse Van Houten, (TO BART) Are you thinking what I'm thinking?
ft1_char1_loc0_1,True,0.0,Bart Simpson: (EAGER) You bet.,True,Bart Simpson, (EAGER) You bet.
ft1_char1_loc0_1,True,0.0,Lisa Simpson: (SOBS),True,Lisa Simpson, (SOBS)
ft1_char1_loc0_1,True,0.0,"Bart Simpson: (SIMULTANEOUSLY, TO MILHOUSE) I bet we could take 'em.",True,Bart Simpson," (SIMULTANEOUSLY, TO MILHOUSE) I bet we could take 'em."
ft1_char1_loc0_1,True,0.0,Milhouse Van Houten: At the same time!,True,Milhouse Van Houten, At the same time!
ft1_char1_loc0_2,True,2987.0,(ANOTHER PART OF THE ESTATE - CONTINUOUS),False,,
